Concept,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
http://dbpedia.org/ontology/IceHockeyPlayer,0.0004,0.0002,0.0001,0.0002,0.0007,0.0002,0.0005,0.0001,0.0003,0.0006,0.0005,0.0006,0.0005,0.0006,0.0003,0.0004,0.0006,0.0002,0.0002,0.0003,0.0001,0.0001,0.0004,0.0002,0.0001,0.0001,0.0002,0.0001,0.0003,0.0003,0.0005,0,0,0
http://www.wikidata.org/entity/Q488111,0.0001,0.0001,0.0001,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0,0,0
http://dbpedia.org/ontology/SoftballLeague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q1777138,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/ClassicalMusicArtist,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q265868,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Swimmer,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0006,0.0002,0.0003,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/CultivatedVariety,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q33999,0.0002,0.0002,0.0003,0.0022,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0002,0.0002,0.0003,0.0002,0.0003,0.0002,0.0001,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0003,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002,0.0003,0,0,0
http://dbpedia.org/ontology/Castle,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/LegalCase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0,0,0
http://www.wikidata.org/entity/Q12136,0.0002,0.0003,0.0002,0.0002,0.0004,0.0004,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0008,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0,0,0
http://dbpedia.org/ontology/RugbyPlayer,0.0007,0.0006,0.0006,0.0005,0.0003,0.0007,0.0009,0.0006,0.0008,0.0005,0.0002,0.0004,0.0004,0.0004,0.0006,0.0005,0.0004,0.0003,0.0004,0.0006,0.0006,0.0007,0.0006,0.0006,0.0004,0.0002,0.0003,0.0003,0.0005,0.0007,0.0004,0,0,0
http://www.wikidata.org/entity/Q1248784,0.0007,0.0002,0.0003,0.0006,0.0002,0.0003,0.0004,0.0003,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0005,0.0004,0.0005,0.0005,0.0004,0.0004,0.0007,0.0005,0.0001,0.0004,0.0003,0.0002,0.0002,0.0004,0,0,0
http://www.wikidata.org/entity/Q4270517,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://schema.org/SportsEvent,0.0014,0.0012,0.002,0.0016,0.0019,0.0007,0.0008,0.0015,0.0009,0.0018,0.0013,0.001,0.0012,0.0009,0.0012,0.0009,0.0011,0.0012,0.0017,0.0017,0.0018,0.0014,0.0015,0.0012,0.0017,0.0005,0.001,0.0007,0.001,0.0014,0.0012,0,0,0
http://dbpedia.org/ontology/Curler,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q634,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0003,0.0004,0,0,0
http://dbpedia.org/ontology/Bodybuilder,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Guitarist,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/PowerStation,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0008,0.0,0.0,0.0003,0.0002,0.0002,0,0,0
http://dbpedia.org/ontology/WomensTennisAssociationTournament,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
http://schema.org/School,0.0008,0.0006,0.0011,0.0009,0.0009,0.0011,0.0009,0.001,0.0009,0.001,0.0008,0.0007,0.0011,0.0009,0.0012,0.0008,0.0014,0.0008,0.0009,0.001,0.0009,0.0008,0.0008,0.0009,0.0009,0.0003,0.0005,0.0004,0.0006,0.0007,0.0009,0,0,0
http://www.wikidata.org/entity/Q11436,0.0001,0.0001,0.0001,0.0004,0.0002,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0,0,0
http://dbpedia.org/ontology/dul:Organism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
http://www.wikidata.org/entity/Q134556,0.0022,0.0014,0.0019,0.0017,0.0018,0.0022,0.0018,0.0022,0.0021,0.0022,0.0014,0.0013,0.0023,0.0014,0.0018,0.0019,0.002,0.0018,0.0023,0.0024,0.002,0.0021,0.0021,0.0026,0.0019,0.0011,0.0013,0.0012,0.0022,0.0026,0.003,0,0,0
http://dbpedia.org/ontology/PeriodicalLiterature,0.0004,0.0004,0.0005,0.0004,0.0004,0.0004,0.0006,0.0002,0.0002,0.0003,0.0002,0.0002,0.0003,0.0004,0.0002,0.0008,0.0005,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0,0,0
